Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
journeyPorta,Chrome 87.0.4280.141,,,2021-01-12 08:06:36,2021-01-12 08:09:48,3m - 11.565s,FAILED
,,,,,,,
Test Cases/JourneyPortal/addProductTOCartAndVerifyWhetherIsItShownInUi,Chrome 87.0.4280.141,,,2021-01-12 08:07:02,2021-01-12 08:08:08,1m - 5.315s,PASSED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:07:02,2021-01-12 08:07:09,6.545s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:07:09,2021-01-12 08:07:12,2.594s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 08:07:12,2021-01-12 08:07:24,12.356s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:07:24,2021-01-12 08:07:40,16.042s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 08:07:40,2021-01-12 08:07:47,6.365s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 08:07:47,2021-01-12 08:07:49,2.289s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 08:07:49,2021-01-12 08:07:50,1.466s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 08:07:50,2021-01-12 08:07:54,3.965s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-12 08:07:54,2021-01-12 08:07:58,3.503s,PASSED
orderCount = pages.JourneyPortal.clickAddToCartButton(),Chrome 87.0.4280.141,,,2021-01-12 08:07:58,2021-01-12 08:08:07,9.264s,PASSED
productCount = pages.JourneyPortal.getProductsCount(),Chrome 87.0.4280.141,,,2021-01-12 08:08:07,2021-01-12 08:08:08,0.502s,PASSED
"pages.JourneyPortal.verifyWhetherOrderedAndAvailableProductsCountAreSame(orderCount, productCount)",Chrome 87.0.4280.141,,,2021-01-12 08:08:08,2021-01-12 08:08:08,0.012s,PASSED
,,,,,,,
Test Cases/JourneyPortal/AddProductToCartMulitpleTimesAndVerifyTheProductsCountAfterRefresh,Chrome 87.0.4280.141,,,2021-01-12 08:08:08,2021-01-12 08:09:02,53.994s,FAILED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:08:08,2021-01-12 08:08:20,12.452s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:08:20,2021-01-12 08:08:22,1.406s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 08:08:22,2021-01-12 08:08:23,1.375s,PASSED
accessCode = pages.Journey.getExistingJourneyAccesscode(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:08:23,2021-01-12 08:08:37,13.654s,PASSED
login.LoginForJourneyApplication.loginToJourneyApplication(),Chrome 87.0.4280.141,,,2021-01-12 08:08:37,2021-01-12 08:08:37,0.378s,PASSED
pages.Journey.enterAccessCodeInJourney(accessCode),Chrome 87.0.4280.141,,,2021-01-12 08:08:37,2021-01-12 08:08:39,2.264s,PASSED
pages.Journey.clickEnterButton(),Chrome 87.0.4280.141,,,2021-01-12 08:08:39,2021-01-12 08:08:41,1.419s,PASSED
pages.JourneyPortal.openExistingSection(),Chrome 87.0.4280.141,,,2021-01-12 08:08:41,2021-01-12 08:08:45,3.862s,PASSED
pages.JourneyPortal.openAnyProductInTheJourneyPortal(),Chrome 87.0.4280.141,,,2021-01-12 08:08:45,2021-01-12 08:08:48,3.169s,PASSED
orderCount = pages.JourneyPortal.clickAddToCartButton(),Chrome 87.0.4280.141,,,2021-01-12 08:08:48,2021-01-12 08:09:00,11.951s,PASSED
login.LoginForJourneyApplication.reloadThePage(),Chrome 87.0.4280.141,,,2021-01-12 08:09:00,2021-01-12 08:09:00,0.026s,PASSED
productCount = pages.JourneyPortal.getProductsCount(),Chrome 87.0.4280.141,,,2021-01-12 08:09:00,2021-01-12 08:09:02,1.649s,PASSED
"pages.JourneyPortal.verifyWhetherOrderedAndAvailableProductsCountAreSame(orderCount, productCount)",Chrome 87.0.4280.141,,,2021-01-12 08:09:02,2021-01-12 08:09:02,0.007s,FAILED
,,,,,,,
Test Cases/JourneyPortal/clickingOnTheRightAndLeftIsNavigatingCorrctly,Chrome 87.0.4280.141,,,2021-01-12 08:09:02,2021-01-12 08:09:48,46.080s,PASSED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:09:02,2021-01-12 08:09:14,12.285s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:09:14,2021-01-12 08:09:16,1.485s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 08:09:16,2021-01-12 08:09:17,1.388s,PASSED
