Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Firefox 84.0,,,2021-01-08 04:31:27,2021-01-08 04:37:59,6m - 31.791s,PASSED
,,,,,,,
Test Cases/Admin/Journey/addJournyAndVerifyItisAdded,Firefox 84.0,,,2021-01-08 04:31:28,2021-01-08 04:32:10,42.222s,PASSED
Start listener action : OpenWebSite,Firefox 84.0,,,2021-01-08 04:31:28,2021-01-08 04:31:57,28.512s,PASSED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-08 04:31:57,2021-01-08 04:32:01,4.015s,PASSED
journeyName = pages.Journey.addJorney(),Firefox 84.0,,,2021-01-08 04:32:01,2021-01-08 04:32:05,4.748s,PASSED
pages.Journey.verifyJourneyAdded(journeyName),Firefox 84.0,,,2021-01-08 04:32:05,2021-01-08 04:32:10,4.576s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Firefox 84.0,,,2021-01-08 04:32:10,2021-01-08 04:33:28,1m - 17.613s,PASSED
Start listener action : OpenWebSite,Firefox 84.0,,,2021-01-08 04:32:10,2021-01-08 04:32:39,29.085s,PASSED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-08 04:32:39,2021-01-08 04:32:43,3.647s,PASSED
journeyName = pages.Journey.addJorney(),Firefox 84.0,,,2021-01-08 04:32:43,2021-01-08 04:32:48,4.943s,PASSED
pages.Journey.cloneJourney(journeyName),Firefox 84.0,,,2021-01-08 04:32:48,2021-01-08 04:33:23,34.685s,PASSED
pages.Journey.verifyJourneyCloned(journeyName),Firefox 84.0,,,2021-01-08 04:33:23,2021-01-08 04:33:28,5.013s,PASSED
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Firefox 84.0,,,2021-01-08 04:33:28,2021-01-08 04:36:48,3m - 20.798s,PASSED
Start listener action : OpenWebSite,Firefox 84.0,,,2021-01-08 04:33:28,2021-01-08 04:33:53,25.252s,PASSED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-08 04:33:53,2021-01-08 04:33:57,4.236s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Firefox 84.0,,,2021-01-08 04:33:57,2021-01-08 04:34:03,5.805s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Firefox 84.0,,,2021-01-08 04:34:03,2021-01-08 04:34:03,0.001s,PASSED
useLimit = pages.Journey.getRandomCount(),Firefox 84.0,,,2021-01-08 04:34:03,2021-01-08 04:34:03,0.002s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Firefox 84.0,,,2021-01-08 04:34:03,2021-01-08 04:36:01,1m - 58.098s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Firefox 84.0,,,2021-01-08 04:36:01,2021-01-08 04:36:48,47.141s,PASSED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Firefox 84.0,,,2021-01-08 04:36:48,2021-01-08 04:37:59,1m - 10.551s,PASSED
Start listener action : OpenWebSite,Firefox 84.0,,,2021-01-08 04:36:49,2021-01-08 04:37:38,49.124s,PASSED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-08 04:37:38,2021-01-08 04:37:41,3.567s,PASSED
journeyName = pages.Journey.addJorney(),Firefox 84.0,,,2021-01-08 04:37:41,2021-01-08 04:37:46,5.041s,PASSED
pages.Journey.deleteJourney(journeyName),Firefox 84.0,,,2021-01-08 04:37:46,2021-01-08 04:37:54,8.103s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Firefox 84.0,,,2021-01-08 04:37:54,2021-01-08 04:37:59,4.569s,PASSED
