Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Chrome 87.0.4280.88,,,2021-01-12 10:56:09,2021-01-12 11:02:48,6m - 39.190s,FAILED
,,,,,,,
Test Cases/Admin/Journey/addJournyAndVerifyItisAdded,Chrome 87.0.4280.88,,,2021-01-12 10:56:40,2021-01-12 10:57:01,21.118s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.88,,,2021-01-12 10:56:41,2021-01-12 10:56:44,3.181s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.88,,,2021-01-12 10:56:44,2021-01-12 10:56:48,4.071s,PASSED
pages.Journey.verifyJourneyAdded(journeyName),Chrome 87.0.4280.88,,,2021-01-12 10:56:48,2021-01-12 10:56:56,8.625s,PASSED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Chrome 87.0.4280.88,,,2021-01-12 10:57:01,2021-01-12 10:57:56,54.781s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.88,,,2021-01-12 10:57:02,2021-01-12 10:57:03,1.403s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.88,,,2021-01-12 10:57:03,2021-01-12 10:57:07,4.318s,PASSED
pages.Journey.deleteJourney(journeyName),Chrome 87.0.4280.88,,,2021-01-12 10:57:07,2021-01-12 10:57:17,9.914s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Chrome 87.0.4280.88,,,2021-01-12 10:57:17,2021-01-12 10:57:51,33.952s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Chrome 87.0.4280.88,,,2021-01-12 10:57:56,2021-01-12 10:58:52,55.466s,FAILED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.88,,,2021-01-12 10:57:56,2021-01-12 10:57:58,1.160s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.88,,,2021-01-12 10:57:58,2021-01-12 10:58:02,4.199s,PASSED
pages.Journey.cloneJourney(journeyName),Chrome 87.0.4280.88,,,2021-01-12 10:58:02,2021-01-12 10:58:47,44.905s,FAILED
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Chrome 87.0.4280.88,,,2021-01-12 10:58:52,2021-01-12 11:01:56,3m - 3.993s,FAILED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.88,,,2021-01-12 10:58:52,2021-01-12 10:58:53,1.142s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.88,,,2021-01-12 10:58:53,2021-01-12 10:58:54,1.136s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Chrome 87.0.4280.88,,,2021-01-12 10:58:54,2021-01-12 10:58:54,0.000s,PASSED
useLimit = pages.Journey.getRandomCount(),Chrome 87.0.4280.88,,,2021-01-12 10:58:54,2021-01-12 10:58:54,0.000s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Chrome 87.0.4280.88,,,2021-01-12 10:58:54,2021-01-12 10:59:09,14.479s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Chrome 87.0.4280.88,,,2021-01-12 10:59:09,2021-01-12 11:01:51,2m - 42.045s,FAILED
,,,,,,,
Test Cases/Admin/Journey/createMultipleAccessCodesWithSameName,Chrome 87.0.4280.88,,,2021-01-12 11:01:56,2021-01-12 11:02:48,52.495s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.88,,,2021-01-12 11:01:56,2021-01-12 11:01:57,1.135s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.88,,,2021-01-12 11:01:57,2021-01-12 11:01:58,1.161s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Chrome 87.0.4280.88,,,2021-01-12 11:01:58,2021-01-12 11:01:58,0.001s,PASSED
useLimit = pages.Journey.getRandomCount(),Chrome 87.0.4280.88,,,2021-01-12 11:01:58,2021-01-12 11:01:58,0.000s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Chrome 87.0.4280.88,,,2021-01-12 11:01:58,2021-01-12 11:02:10,11.493s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Chrome 87.0.4280.88,,,2021-01-12 11:02:10,2021-01-12 11:02:22,12.716s,PASSED
journeyName1 = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.88,,,2021-01-12 11:02:22,2021-01-12 11:02:24,1.973s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName1, accessCode, useLimit)",Chrome 87.0.4280.88,,,2021-01-12 11:02:24,2021-01-12 11:02:36,11.289s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName1, accessCode)",Chrome 87.0.4280.88,,,2021-01-12 11:02:36,2021-01-12 11:02:43,7.539s,PASSED
