Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Firefox 84.0,,,2021-01-12 06:19:07,2021-01-12 06:20:23,1m - 16.429s,ERROR
,,,,,,,
Test Cases/Admin/Journey/addJournyAndVerifyItisAdded,Firefox 84.0,,,2021-01-12 06:19:31,2021-01-12 06:19:46,15.419s,ERROR
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 06:19:31,2021-01-12 06:19:35,3.929s,PASSED
journeyName = pages.Journey.addJourney(),Firefox 84.0,,,2021-01-12 06:19:35,2021-01-12 06:19:40,5.132s,PASSED
pages.Journey.verifyJourneyAdded(journeyName),Firefox 84.0,,,2021-01-12 06:19:40,2021-01-12 06:19:46,5.912s,ERROR
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Firefox 84.0,,,2021-01-12 06:19:46,2021-01-12 06:19:53,7.110s,ERROR
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 06:19:46,2021-01-12 06:19:48,1.521s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Firefox 84.0,,,2021-01-12 06:19:48,2021-01-12 06:19:49,1.371s,PASSED
pages.Journey.deleteJourney(journeyName),Firefox 84.0,,,2021-01-12 06:19:49,2021-01-12 06:19:53,3.883s,ERROR
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Firefox 84.0,,,2021-01-12 06:19:53,2021-01-12 06:20:06,12.682s,ERROR
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 06:19:54,2021-01-12 06:19:55,1.742s,PASSED
journeyName = pages.Journey.addJourney(),Firefox 84.0,,,2021-01-12 06:19:55,2021-01-12 06:20:01,5.380s,PASSED
pages.Journey.cloneJourney(journeyName),Firefox 84.0,,,2021-01-12 06:20:01,2021-01-12 06:20:06,5.192s,ERROR
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Firefox 84.0,,,2021-01-12 06:20:06,2021-01-12 06:20:15,8.964s,ERROR
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 06:20:06,2021-01-12 06:20:08,1.584s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Firefox 84.0,,,2021-01-12 06:20:08,2021-01-12 06:20:09,1.366s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Firefox 84.0,,,2021-01-12 06:20:09,2021-01-12 06:20:09,0.002s,PASSED
useLimit = pages.Journey.getRandomCount(),Firefox 84.0,,,2021-01-12 06:20:09,2021-01-12 06:20:09,0.002s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Firefox 84.0,,,2021-01-12 06:20:09,2021-01-12 06:20:15,5.699s,ERROR
,,,,,,,
Test Cases/Admin/Journey/createMultipleAccessCodesWithSameName,Firefox 84.0,,,2021-01-12 06:20:15,2021-01-12 06:20:23,8.552s,ERROR
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 06:20:15,2021-01-12 06:20:17,1.358s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Firefox 84.0,,,2021-01-12 06:20:17,2021-01-12 06:20:18,1.268s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Firefox 84.0,,,2021-01-12 06:20:18,2021-01-12 06:20:18,0.002s,PASSED
useLimit = pages.Journey.getRandomCount(),Firefox 84.0,,,2021-01-12 06:20:18,2021-01-12 06:20:18,0.002s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Firefox 84.0,,,2021-01-12 06:20:18,2021-01-12 06:20:23,5.523s,ERROR
