Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Chrome 87.0.4280.141,,,2021-01-12 08:28:18,2021-01-12 08:30:59,2m - 41.652s,PASSED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Chrome 87.0.4280.141,,,2021-01-12 08:28:37,2021-01-12 08:29:39,1m - 2.466s,PASSED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:28:37,2021-01-12 08:28:43,6.447s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:28:43,2021-01-12 08:28:46,2.618s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-12 08:28:46,2021-01-12 08:28:51,4.769s,PASSED
pages.Journey.deleteJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:28:51,2021-01-12 08:29:01,10.109s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:29:01,2021-01-12 08:29:39,38.171s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Chrome 87.0.4280.141,,,2021-01-12 08:29:39,2021-01-12 08:30:18,38.802s,PASSED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:29:39,2021-01-12 08:29:51,12.357s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:29:52,2021-01-12 08:29:53,1.451s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-12 08:29:53,2021-01-12 08:29:59,5.480s,PASSED
pages.Journey.cloneJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:29:59,2021-01-12 08:30:09,10.141s,PASSED
pages.Journey.verifyJourneyCloned(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:30:09,2021-01-12 08:30:18,9.037s,PASSED
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Chrome 87.0.4280.141,,,2021-01-12 08:30:18,2021-01-12 08:30:59,41.284s,PASSED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:30:18,2021-01-12 08:30:30,12.007s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:30:30,2021-01-12 08:30:32,1.375s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-12 08:30:32,2021-01-12 08:30:33,1.506s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Chrome 87.0.4280.141,,,2021-01-12 08:30:33,2021-01-12 08:30:33,0.003s,PASSED
useLimit = pages.Journey.getRandomCount(),Chrome 87.0.4280.141,,,2021-01-12 08:30:33,2021-01-12 08:30:33,0.002s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Chrome 87.0.4280.141,,,2021-01-12 08:30:33,2021-01-12 08:30:49,16.168s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Chrome 87.0.4280.141,,,2021-01-12 08:30:49,2021-01-12 08:30:59,9.938s,PASSED
