Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Firefox 84.0,,,2021-01-12 05:18:20,2021-01-12 05:20:09,1m - 48.824s,FAILED
,,,,,,,
Test Cases/Admin/Journey/addJournyAndVerifyItisAdded,Firefox 84.0,,,2021-01-12 05:18:53,2021-01-12 05:19:15,21.625s,PASSED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 05:18:53,2021-01-12 05:19:05,11.321s,PASSED
journeyName = pages.Journey.addJourney(),Firefox 84.0,,,2021-01-12 05:19:05,2021-01-12 05:19:09,4.439s,PASSED
pages.Journey.verifyJourneyAdded(journeyName),Firefox 84.0,,,2021-01-12 05:19:09,2021-01-12 05:19:15,5.606s,PASSED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Firefox 84.0,,,2021-01-12 05:19:15,2021-01-12 05:20:02,46.934s,PASSED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 05:19:15,2021-01-12 05:19:16,1.413s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Firefox 84.0,,,2021-01-12 05:19:16,2021-01-12 05:19:17,1.194s,PASSED
pages.Journey.deleteJourney(journeyName),Firefox 84.0,,,2021-01-12 05:19:17,2021-01-12 05:19:25,7.981s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Firefox 84.0,,,2021-01-12 05:19:25,2021-01-12 05:20:02,36.138s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Firefox 84.0,,,2021-01-12 05:20:02,2021-01-12 05:20:08,6.170s,FAILED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 05:20:02,2021-01-12 05:20:03,1.302s,PASSED
journeyName = pages.Journey.addJourney(),Firefox 84.0,,,2021-01-12 05:20:03,2021-01-12 05:20:08,4.428s,PASSED
pages.Journey.cloneJourney(journeyName),Firefox 84.0,,,2021-01-12 05:20:08,2021-01-12 05:20:08,0.224s,FAILED
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Firefox 84.0,,,2021-01-12 05:20:08,2021-01-12 05:20:09,1.167s,FAILED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 05:20:08,2021-01-12 05:20:09,0.856s,FAILED
,,,,,,,
Test Cases/Admin/Journey/createMultipleAccessCodesWithSameName,Firefox 84.0,,,2021-01-12 05:20:09,2021-01-12 05:20:09,0.322s,FAILED
pages.Journey.clickOnJourneyTab(),Firefox 84.0,,,2021-01-12 05:20:09,2021-01-12 05:20:09,0.046s,FAILED
