Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AssetSource,Chrome 87.0.4280.141,,,2021-01-12 05:43:50,2021-01-12 05:46:29,2m - 39.231s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Add An AssetSource,Chrome 87.0.4280.141,,,2021-01-12 05:44:08,2021-01-12 05:44:26,18.001s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.141,,,2021-01-12 05:44:09,2021-01-12 05:44:20,11.833s,PASSED
pages.Assetsource.verifyAssetSourceAdded(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:44:20,2021-01-12 05:44:26,5.933s,PASSED
println(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:44:26,2021-01-12 05:44:26,0.002s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Delete An AssetSource,Chrome 87.0.4280.141,,,2021-01-12 05:44:26,2021-01-12 05:45:01,34.915s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.141,,,2021-01-12 05:44:27,2021-01-12 05:44:34,6.768s,PASSED
println(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:44:34,2021-01-12 05:44:34,0.001s,PASSED
pages.Assetsource.deleteAnAssetSource(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:44:34,2021-01-12 05:44:49,15.841s,PASSED
pages.Assetsource.verifyAssetSourceDeleted(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:44:49,2021-01-12 05:45:01,12.004s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Edit An AssetSource,Chrome 87.0.4280.141,,,2021-01-12 05:45:01,2021-01-12 05:45:53,51.708s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.141,,,2021-01-12 05:45:02,2021-01-12 05:45:37,35.816s,PASSED
println(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:45:37,2021-01-12 05:45:37,0.000s,PASSED
pages.Assetsource.editAnAssetSource(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:45:37,2021-01-12 05:45:53,15.717s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify Asset Source tab by clicking it,Chrome 87.0.4280.141,,,2021-01-12 05:45:53,2021-01-12 05:45:55,2.001s,PASSED
pages.Assetsource.navigateToAssetSourceDetailsTab(),Chrome 87.0.4280.141,,,2021-01-12 05:45:53,2021-01-12 05:45:55,1.857s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify by clicking on any asset source in the Asset source tab details page,Chrome 87.0.4280.141,,,2021-01-12 05:45:55,2021-01-12 05:46:08,13.147s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.141,,,2021-01-12 05:45:55,2021-01-12 05:46:01,5.724s,PASSED
println(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:46:01,2021-01-12 05:46:01,0.001s,PASSED
pages.Assetsource.openAnyExistingAssetSource(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:46:01,2021-01-12 05:46:08,7.273s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify Cancel button functionality in the Add Asset Source popup,Chrome 87.0.4280.141,,,2021-01-12 05:46:08,2021-01-12 05:46:14,5.480s,PASSED
pages.Assetsource.navigateToAssetSourceDetailsTab(),Chrome 87.0.4280.141,,,2021-01-12 05:46:08,2021-01-12 05:46:10,1.946s,PASSED
pages.Assetsource.clickAddAssetSource(),Chrome 87.0.4280.141,,,2021-01-12 05:46:10,2021-01-12 05:46:12,1.188s,PASSED
pages.Assetsource.cancelAssetSourcePopup(),Chrome 87.0.4280.141,,,2021-01-12 05:46:12,2021-01-12 05:46:14,2.202s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Verify Close button functionality in the Asset Source edit page,Chrome 87.0.4280.141,,,2021-01-12 05:46:14,2021-01-12 05:46:29,15.302s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Chrome 87.0.4280.141,,,2021-01-12 05:46:14,2021-01-12 05:46:20,5.651s,PASSED
println(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:46:20,2021-01-12 05:46:20,0.001s,PASSED
pages.Assetsource.openAnyExistingAssetSource(sourcename),Chrome 87.0.4280.141,,,2021-01-12 05:46:20,2021-01-12 05:46:27,7.350s,PASSED
pages.Assetsource.closeAssetSourceEditpage(),Chrome 87.0.4280.141,,,2021-01-12 05:46:27,2021-01-12 05:46:29,2.151s,PASSED
