Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dashboardVerification,Chrome 87.0.4280.141,,,2021-01-12 05:47:11,2021-01-12 05:47:44,32.758s,PASSED
,,,,,,,
Test Cases/Admin/dashboard/Verify Headers,Chrome 87.0.4280.141,,,2021-01-12 05:47:27,2021-01-12 05:47:33,6.859s,PASSED
common.uploading.getHeaders(),Chrome 87.0.4280.141,,,2021-01-12 05:47:27,2021-01-12 05:47:33,6.634s,PASSED
,,,,,,,
Test Cases/Admin/dashboard/verifyUrlAfterLogin,Chrome 87.0.4280.141,,,2021-01-12 05:47:33,2021-01-12 05:47:44,10.238s,PASSED
"verification.Verification.getUrlAndVerify(""dashboard"", ""you are not in a dashboard page"")",Chrome 87.0.4280.141,,,2021-01-12 05:47:34,2021-01-12 05:47:44,10.049s,PASSED
