Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Chrome 87.0.4280.141,,,2021-01-11 23:30:14,2021-01-11 23:35:01,4m - 46.985s,PASSED
,,,,,,,
Test Cases/Admin/Journey/addJournyAndVerifyItisAdded,Chrome 87.0.4280.141,,,2021-01-11 23:30:14,2021-01-11 23:30:55,40.133s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-11 23:30:14,2021-01-11 23:30:38,23.737s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-11 23:30:38,2021-01-11 23:30:42,3.354s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-11 23:30:42,2021-01-11 23:30:47,4.813s,PASSED
pages.Journey.verifyJourneyAdded(journeyName),Chrome 87.0.4280.141,,,2021-01-11 23:30:47,2021-01-11 23:30:55,7.897s,PASSED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Chrome 87.0.4280.141,,,2021-01-11 23:30:55,2021-01-11 23:32:05,1m - 10.158s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-11 23:30:55,2021-01-11 23:31:13,18.088s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-11 23:31:13,2021-01-11 23:31:17,3.870s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-11 23:31:17,2021-01-11 23:31:21,4.508s,PASSED
pages.Journey.deleteJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-11 23:31:21,2021-01-11 23:31:30,9.027s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Chrome 87.0.4280.141,,,2021-01-11 23:31:30,2021-01-11 23:32:05,34.409s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Chrome 87.0.4280.141,,,2021-01-11 23:32:05,2021-01-11 23:32:51,46.102s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-11 23:32:05,2021-01-11 23:32:21,16.031s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-11 23:32:21,2021-01-11 23:32:25,3.707s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-11 23:32:25,2021-01-11 23:32:29,4.702s,PASSED
pages.Journey.cloneJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-11 23:32:29,2021-01-11 23:32:40,11.151s,PASSED
pages.Journey.verifyJourneyCloned(journeyName),Chrome 87.0.4280.141,,,2021-01-11 23:32:40,2021-01-11 23:32:51,10.310s,PASSED
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Chrome 87.0.4280.141,,,2021-01-11 23:32:51,2021-01-11 23:33:47,55.789s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-11 23:32:51,2021-01-11 23:33:08,17.078s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-11 23:33:08,2021-01-11 23:33:12,3.735s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-11 23:33:12,2021-01-11 23:33:20,8.589s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Chrome 87.0.4280.141,,,2021-01-11 23:33:20,2021-01-11 23:33:20,0.001s,PASSED
useLimit = pages.Journey.getRandomCount(),Chrome 87.0.4280.141,,,2021-01-11 23:33:20,2021-01-11 23:33:20,0.000s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Chrome 87.0.4280.141,,,2021-01-11 23:33:20,2021-01-11 23:33:37,16.189s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Chrome 87.0.4280.141,,,2021-01-11 23:33:37,2021-01-11 23:33:47,9.952s,PASSED
,,,,,,,
Test Cases/Admin/Journey/createMultipleAccessCodesWithSameName,Chrome 87.0.4280.141,,,2021-01-11 23:33:47,2021-01-11 23:35:01,1m - 14.173s,PASSED
Start listener action : OpenWebSite,Chrome 87.0.4280.141,,,2021-01-11 23:33:47,2021-01-11 23:34:03,15.913s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-11 23:34:03,2021-01-11 23:34:07,4.412s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-11 23:34:07,2021-01-11 23:34:14,6.990s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Chrome 87.0.4280.141,,,2021-01-11 23:34:14,2021-01-11 23:34:14,0.001s,PASSED
useLimit = pages.Journey.getRandomCount(),Chrome 87.0.4280.141,,,2021-01-11 23:34:14,2021-01-11 23:34:14,0.001s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Chrome 87.0.4280.141,,,2021-01-11 23:34:14,2021-01-11 23:34:28,13.701s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Chrome 87.0.4280.141,,,2021-01-11 23:34:28,2021-01-11 23:34:37,9.324s,PASSED
journeyName1 = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-11 23:34:37,2021-01-11 23:34:39,2.136s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName1, accessCode, useLimit)",Chrome 87.0.4280.141,,,2021-01-11 23:34:39,2021-01-11 23:34:53,13.786s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName1, accessCode)",Chrome 87.0.4280.141,,,2021-01-11 23:34:53,2021-01-11 23:35:01,7.736s,PASSED
