Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:36:57,2021-01-13 12:36:59,1.248s,PASSED
pages.Asset.verifyAssetPage(),Firefox 84.0,,,2021-01-13 12:36:59,2021-01-13 12:37:00,1.844s,PASSED
,,,,,,,
Test Cases/Admin/Asset/verifyElementsInAddAssetPopUp,Firefox 84.0,,,2021-01-13 12:37:00,2021-01-13 12:37:11,10.709s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:37:00,2021-01-13 12:37:03,3.019s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:37:04,2021-01-13 12:37:05,1.280s,PASSED
pages.Asset.verifyAddAssetPopUp(),Firefox 84.0,,,2021-01-13 12:37:05,2021-01-13 12:37:11,6.203s,PASSED
,,,,,,,
Test Cases/Admin/Asset/VerifyElementsInAssetEditPage,Firefox 84.0,,,2021-01-13 12:37:11,2021-01-13 12:37:21,10.064s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:37:11,2021-01-13 12:37:14,3.018s,PASSED
pages.Asset.clickAssetTab(),Firefox 84.0,,,2021-01-13 12:37:14,2021-01-13 12:37:16,1.286s,PASSED
pages.Asset.verifyAssetEditPage(),Firefox 84.0,,,2021-01-13 12:37:16,2021-01-13 12:37:21,5.627s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Add An AssetSource,Firefox 84.0,,,2021-01-13 12:37:21,2021-01-13 12:37:47,25.409s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:37:21,2021-01-13 12:37:30,8.765s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Firefox 84.0,,,2021-01-13 12:37:30,2021-01-13 12:37:37,6.536s,PASSED
pages.Assetsource.verifyAssetSourceAdded(sourcename),Firefox 84.0,,,2021-01-13 12:37:37,2021-01-13 12:37:47,9.938s,PASSED
println(sourcename),Firefox 84.0,,,2021-01-13 12:37:47,2021-01-13 12:37:47,0.000s,PASSED
,,,,,,,
Test Cases/Admin/AssetSource/Delete An AssetSource,Firefox 84.0,,,2021-01-13 12:37:47,2021-01-13 12:38:22,35.484s,PASSED
Start listener action : login,Firefox 84.0,,,2021-01-13 12:37:47,2021-01-13 12:37:50,3.002s,PASSED
sourcename = pages.Assetsource.addAssetSource(),Firefox 84.0,,,2021-01-13 12:37:50,2021-01-13 12:37:56,6.080s,PASSED
println(sourcename),Firefox 84.0,,,2021-01-13 12:37:56,2021-01-13 12:37:56,0.000s,PASSED
pages.Assetsource.deleteAnAssetSource(sourcename),Firefox 84.0,,,2021-01-13 12:37:56,2021-01-13 12:38:11,15.077s,PASSED
