Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Chrome 87.0.4280.141,,,2021-01-12 08:20:24,2021-01-12 08:22:49,2m - 25.838s,FAILED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Chrome 87.0.4280.141,,,2021-01-12 08:20:45,2021-01-12 08:21:50,1m - 5.170s,PASSED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:20:45,2021-01-12 08:20:51,6.600s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:20:52,2021-01-12 08:20:54,2.656s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-12 08:20:54,2021-01-12 08:20:59,5.145s,PASSED
pages.Journey.deleteJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:20:59,2021-01-12 08:21:11,11.961s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:21:11,2021-01-12 08:21:50,38.428s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Chrome 87.0.4280.141,,,2021-01-12 08:21:50,2021-01-12 08:22:49,59.603s,FAILED
Start listener action : login,Chrome 87.0.4280.141,,,2021-01-12 08:21:50,2021-01-12 08:22:02,12.035s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-12 08:22:02,2021-01-12 08:22:03,1.366s,PASSED
journeyName = pages.Journey.addJourney(),Chrome 87.0.4280.141,,,2021-01-12 08:22:03,2021-01-12 08:22:08,5.116s,PASSED
pages.Journey.cloneJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-12 08:22:08,2021-01-12 08:22:49,40.872s,FAILED
