Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Journey,Chrome 87.0.4280.141,,,2021-01-08 04:40:03,2021-01-08 04:42:26,2m - 22.863s,PASSED
,,,,,,,
Test Cases/Admin/Journey/addJournyAndVerifyItisAdded,Chrome 87.0.4280.141,,,2021-01-08 04:40:27,2021-01-08 04:40:39,12.017s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 04:40:27,2021-01-08 04:40:30,2.797s,PASSED
journeyName = pages.Journey.addJorney(),Chrome 87.0.4280.141,,,2021-01-08 04:40:30,2021-01-08 04:40:35,4.917s,PASSED
pages.Journey.verifyJourneyAdded(journeyName),Chrome 87.0.4280.141,,,2021-01-08 04:40:35,2021-01-08 04:40:39,4.109s,PASSED
,,,,,,,
Test Cases/Admin/Journey/cloneJourneyAndVerifyisitCloned,Chrome 87.0.4280.141,,,2021-01-08 04:40:39,2021-01-08 04:41:26,47.336s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 04:40:39,2021-01-08 04:40:41,1.672s,PASSED
journeyName = pages.Journey.addJorney(),Chrome 87.0.4280.141,,,2021-01-08 04:40:41,2021-01-08 04:40:45,4.774s,PASSED
pages.Journey.cloneJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-08 04:40:45,2021-01-08 04:41:21,35.271s,PASSED
pages.Journey.verifyJourneyCloned(journeyName),Chrome 87.0.4280.141,,,2021-01-08 04:41:21,2021-01-08 04:41:26,5.408s,PASSED
,,,,,,,
Test Cases/Admin/Journey/createAccessCodeForJourneyAndVerifyIsTheCodeSuccessfullyCreated,Chrome 87.0.4280.141,,,2021-01-08 04:41:26,2021-01-08 04:42:10,43.646s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 04:41:26,2021-01-08 04:41:28,1.328s,PASSED
journeyName = pages.Journey.getRandomJourneyName(),Chrome 87.0.4280.141,,,2021-01-08 04:41:28,2021-01-08 04:41:34,5.909s,PASSED
accessCode = pages.Journey.getRandomAccessCode(),Chrome 87.0.4280.141,,,2021-01-08 04:41:34,2021-01-08 04:41:34,0.001s,PASSED
useLimit = pages.Journey.getRandomCount(),Chrome 87.0.4280.141,,,2021-01-08 04:41:34,2021-01-08 04:41:34,0.003s,PASSED
"accessCode = pages.Journey.createAccessCodeInJourney(journeyName, accessCode, useLimit)",Chrome 87.0.4280.141,,,2021-01-08 04:41:34,2021-01-08 04:41:46,12.390s,PASSED
"pages.Journey.verifyTheCreatedAccessCode(journeyName, accessCode)",Chrome 87.0.4280.141,,,2021-01-08 04:41:46,2021-01-08 04:42:10,23.805s,PASSED
,,,,,,,
Test Cases/Admin/Journey/deleteJourneyAndVerify,Chrome 87.0.4280.141,,,2021-01-08 04:42:10,2021-01-08 04:42:26,16.602s,PASSED
pages.Journey.clickOnJourneyTab(),Chrome 87.0.4280.141,,,2021-01-08 04:42:10,2021-01-08 04:42:12,1.745s,PASSED
journeyName = pages.Journey.addJorney(),Chrome 87.0.4280.141,,,2021-01-08 04:42:12,2021-01-08 04:42:16,4.416s,PASSED
pages.Journey.deleteJourney(journeyName),Chrome 87.0.4280.141,,,2021-01-08 04:42:16,2021-01-08 04:42:24,7.426s,PASSED
pages.Journey.verifyJourneyDeleted(journeyName),Chrome 87.0.4280.141,,,2021-01-08 04:42:24,2021-01-08 04:42:26,2.809s,PASSED
